pid,file_name,label,location,_date,month_str,year,type,notes,teams,game_info,player_info,inventoried
SB_News_Times_June_03_1922,SB_News_Times_June_03_1922.jpg,South Bend News Times,"South Bend, Indiana, US",3/6/1922,June,1922,JPG,,,,,n
SB_News_Times_June_18_1922,SB_News_Times_June_18_1922.jpg,South Bend News Times,"South Bend, Indiana, US",18/06/1922,June,1922,JPG,,,,,n
SB_News_Times_June_23_1922,SB_News_Times_June_23_1922.jpg,South Bend News Times,"South Bend, Indiana, US",23/06/1922,June,1922,JPG,,,,,n
SB_News_Times_June_24_1917,SB_News_Times_June_24_1917.jpg,South Bend News Times,"South Bend, Indiana, US",24/06/1917,June,1917,JPG,,,,,n
SB_News_Times_March_04_1920,SB_News_Times_March_04_1920.jpg,South Bend News Times,"South Bend, Indiana, US",4/3/1920,March,1920,JPG,,,,,n
SB_News_Times_March_11_1919,SB_News_Times_March_11_1919.jpg,South Bend News Times,"South Bend, Indiana, US",11/3/1919,March,1919,JPG,,"Studebaker Nine, Wilson Brothers Team ",n,y,y
SB_News_Times_March_17_1914,SB_News_Times_March_17_1914.jpg,South Bend News Times,"South Bend, Indiana, US",17/03/1914,March,1914,JPG,,,,,n
SB_News_Times_March_23_1914,SB_News_Times_March_23_1914.jpg,South Bend News Times,"South Bend, Indiana, US",23/03/1914,March,1914,JPG,,,,,n
SB_News_Times_March_30_1914,SB_News_Times_March_30_1914.jpg,South Bend News Times,"South Bend, Indiana, US",30/03/1914,March,1914,JPG,,,,,n
SB_News_Times_May_07_1914,SB_News_Times_May_07_1914.jpg,South Bend News Times,"South Bend, Indiana, US",7/5/1914,May,1914,JPG,,,,,n
SB_News_Times_May_13_1917,SB_News_Times_May_13_1917.jpg,South Bend News Times,"South Bend, Indiana, US",13/05/1917,May,1917,JPG,,,,,n
SB_News_Times_May_14_1917,SB_News_Times_May_14_1917.jpg,South Bend News Times,"South Bend, Indiana, US",14/05/1917,May,1917,JPG,,,,,n
SB_News_Times_May_18_1917,SB_News_Times_May_18_1917.jpg,South Bend News Times,"South Bend, Indiana, US",18/05/1917,May,1917,JPG,,,,,n
SB_News_Times_May_29_1914,SB_News_Times_May_29_1914.jpg,South Bend News Times,"South Bend, Indiana, US",29/05/1914,May,1914,JPG,,,,,n
SB_News_Times_May_30_1920,SB_News_Times_May_30_1920.jpg,South Bend News Times,"South Bend, Indiana, US",30/05/1920,May,1920,JPG,,,,,n
SB_News_Times_November_29_1913,SB_News_Times_November_29_1913.jpg,South Bend News Times,"South Bend, Indiana, US",29/11/1913,November,1913,JPG,,,,,n
SB_News_Times_October_06_1913,SB_News_Times_October_06_1913.jpg,South Bend News Times,"South Bend, Indiana, US",6/10/1913,October,1913,JPG,,,,,n
SB_News_Times_October_07_1918,SB_News_Times_October_07_1918.jpg,South Bend News Times,"South Bend, Indiana, US",7/10/1918,October,1918,JPG,,,,,n
SB_News_Times_September_08_1921,SB_News_Times_September_08_1921.jpg,South Bend News Times,"South Bend, Indiana, US",8/9/1921,September,1921,JPG,,,,,n
SB_News_Times_September_09_1915,SB_News_Times_September_09_1915.jpg,South Bend News Times,"South Bend, Indiana, US",9/9/1915,September,1915,JPG,Game played at Singer Park,"""Detroit Team"" and the ""Studebakers""",n,n,y
